Date,Style,Set 1,Set 2,Set 3
2023-02-06,Wall,50,50,50
2023-02-11,Horizontal,30,30,30
2023-02-20,Advanced horizontal,11,5,2
2023-02-25,Advanced horizontal,11,6,5
2023-03-04,Advanced horizontal,10,7,2
2023-03-09,Advanced horizontal,10,7,5
2023-03-18,Advanced horizontal,14,8,7
2023-03-26,Advanced horizontal,14,9,6
2023-04-07,Advanced horizontal,16,8,5
2023-04-12,Advanced horizontal,16,9,8
2023-04-19,Advanced horizontal,18,11,10
2023-04-30,Advanced horizontal,18,14,12
2023-05-05,Advanced horizontal,16,11,13
